timestep_ns,from_sat,to_sat,alpha
0,44,45,0.9693249205928889
0,45,44,-0.968542769825655
0,44,57,-0.8778010422842276
0,57,44,0.8058778371697929
0,45,46,0.9688118079821609
0,46,45,-0.9691139140235328
0,45,58,-0.8080924340184049
0,58,45,0.7912780288258706
0,46,47,0.9691736588896847
0,47,46,-0.9700931921850338
0,46,59,-0.7892293481234096
0,59,46,0.8385053300314445
0,47,48,0.97011707266244
0,48,47,-0.9706499850255264
0,47,60,-0.8411425130340011
0,60,47,0.9227262904364609
0,48,49,0.9708357273170642
0,49,48,-0.9703101858774782
0,48,61,-0.9454970984914154
0,61,48,0.9883887999317287
0,49,50,0.9707074145366609
0,50,49,-0.9693702638106704
0,49,62,-0.9882565847452853
0,62,49,0.9457120740264474
0,50,51,0.9698371080326565
0,51,50,-0.9686373538673438
0,50,63,-0.9225848239011556
0,63,50,0.8413762436028784
0,39,51,-0.9687264891891064
0,51,39,0.968963380734207
0,51,64,-0.8382719032995515
0,64,51,0.789486307796185
0,52,53,0.9687727582503064
0,53,52,-0.9690868804521429
0,52,65,0.612102948267247
0,65,52,-0.5919655807791165
0,53,54,0.9690913236614582
0,54,53,-0.9700231377345413
0,53,66,0.7258828021883212
0,66,53,-0.639000508673487
0,54,55,0.9700074053561606
0,55,54,-0.9705407334479335
0,54,67,0.9064988836775438
0,67,54,-0.8138334712843421
0,55,56,0.9707196894603214
0,56,55,-0.9701947144387109
0,55,68,0.9891189600588532
0,68,55,-0.989032420633707
0,56,57,0.9706154657211719
0,57,56,-0.9692728909570819
0,56,69,0.8138618374036821
0,69,56,-0.9063581872981248
0,57,58,0.9697925901611717
0,58,57,-0.9685727618532984
0,57,70,0.639084811667353
0,70,57,-0.7257188892090976
0,58,59,0.9689591164932646
0,59,58,-0.9687178512975715
0,58,71,0.5920330173837328
0,71,58,-0.6118614131889557
0,59,60,0.9688677946331016
0,60,59,-0.9696000059941361
0,59,72,0.6575919048097519
0,72,59,-0.5996319577484348
0,60,61,0.9696132803583556
0,61,60,-0.9704696089320177
0,60,73,0.8127039157424261
0,73,60,-0.7115954447391172
0,61,62,0.9705572710432839
0,62,61,-0.9705910389991189
0,61,74,0.9789596859188555
0,74,61,-0.9218259272173958
0,62,63,0.9708903167224398
0,63,62,-0.9698705520430725
0,62,75,0.9218406192592951
0,75,62,-0.9788230079879946
0,63,64,0.9703271627370692
0,64,63,-0.9689246513415458
0,63,76,0.7116210754191604
0,76,63,-0.8125489938697108
0,52,64,-0.9685658033108199
0,64,52,0.9693449829431262
0,64,77,0.5996693269590238
0,77,64,-0.6574868412204662
0,65,66,0.9688207121035555
0,66,65,-0.9695539126285497
0,65,78,-0.7910347332613565
0,78,65,0.8083357850920082
0,66,67,0.9695204062424466
0,67,66,-0.9703777994148108
0,66,79,-0.8056661787861995
0,79,66,0.8779420411862334
0,67,68,0.970440670179691
0,68,67,-0.9704742153787943
0,67,80,-0.8917369638283474
0,80,67,0.9638505138622424
0,68,69,0.970783212484436
0,69,68,-0.9697630156304596
0,68,81,-0.982599983684276
0,81,68,0.982760453399574
0,69,70,0.970261720636394
0,70,69,-0.9688480349828403
0,69,82,-0.963714695021791
0,82,69,0.8919518744124321
0,70,71,0.9693248936918643
0,71,70,-0.9685265836598257
0,70,83,-0.8778010422841532
0,83,70,0.8058778371697612
0,71,72,0.9687957056608251
0,72,71,-0.9691139408949899
0,71,84,-0.8082227814347615
0,84,71,0.7912783078698796
0,72,73,0.9691736522332642
0,73,72,-0.9700931855598247
0,72,85,-0.7892293481232209
0,85,72,0.8385053300314618
0,73,74,0.9701170726624525
0,74,73,-0.9706499850255254
0,73,86,-0.8411426381020408
0,86,73,0.922726345476942
0,74,75,0.9708357273170652
0,75,74,-0.9703103134672504
0,74,87,-0.9454970984914107
0,87,74,0.9883935595768343
0,75,76,0.9707075416581321
0,76,75,-0.9693702638106722
0,75,88,-0.9882562890995438
0,88,75,0.9457126230265706
0,76,77,0.9698371027106432
0,77,76,-0.9686335430056081
0,76,89,-0.9225848789615818
0,89,76,0.8413678431364112
0,65,77,-0.9687264964272803
0,77,65,0.9689595818629567
0,77,90,-0.8383011079687466
0,90,77,0.7894864907855634
0,78,79,0.9687727616249179
0,79,78,-0.9690884632696566
0,78,91,0.6121064693237672
0,91,78,-0.5919804707764709
0,79,80,0.9690929022329351
0,80,79,-0.9700231360840782
0,79,92,0.7259028032911683
0,92,79,-0.6390043089442599
0,80,81,0.9700074053561638
0,81,80,-0.9705407334479321
0,80,93,0.9065000957242905
0,93,80,-0.8138360619116041
0,81,82,0.97071969105674
0,82,81,-0.9701947160430254
0,81,94,0.9891190440200678
0,94,81,-0.9890325042787078
0,82,83,0.9706154670200972
0,83,82,-0.9692728922671202
0,82,95,0.8138642557992621
0,95,82,-0.906305717642836
0,83,84,0.9697925901611754
0,84,83,-0.968572761853289
0,83,96,0.6390884185639744
0,96,83,-0.7257214737524208
0,84,85,0.968959116493336
0,85,84,-0.9687178512975666
0,84,97,0.5920369935834807
0,97,84,-0.6120450519072602
0,85,86,0.9688677946331027
0,86,85,-0.9696000059941176
0,85,98,0.657594878445472
0,98,85,-0.5996355824377468
0,86,87,0.9696132779042934
0,87,86,-0.9704675845193999
0,86,99,0.8127061977612461
0,99,86,-0.7115991901840458
0,87,88,0.9705552582173391
0,88,87,-0.9705910215660628
0,87,100,0.9789456059011797
0,100,87,-0.921832339729865
0,88,89,0.9708903018255868
0,89,88,-0.969871204267548
